iter	MultiClass
0	2.257782072
1	2.222321341
2	2.177461257
3	2.140020551
4	2.121838901
5	2.090587249
6	2.044560825
7	2.010628123
8	1.977195807
9	1.944326228
10	1.92044926
11	1.888786219
12	1.870972711
13	1.838700469
14	1.813657495
15	1.787200792
16	1.759779048
17	1.721758164
18	1.696111809
19	1.667603721
20	1.652491908
21	1.634858582
22	1.596804061
23	1.567187257
24	1.547208678
25	1.51571256
26	1.496829803
27	1.47570751
28	1.450039242
29	1.42669193
30	1.408814195
31	1.397021
32	1.372156319
33	1.350087185
34	1.338365377
35	1.321969004
36	1.305092915
37	1.287717982
38	1.274672556
39	1.265254723
40	1.25389078
41	1.240758619
42	1.224336629
43	1.212013363
44	1.207595061
45	1.191483818
46	1.170779965
47	1.154780731
48	1.140716571
49	1.126466384
50	1.119216063
51	1.105028677
52	1.089619924
53	1.069770075
54	1.062306243
55	1.050557403
56	1.040409421
57	1.025446922
58	1.017390792
59	1.009377187
60	0.9984238854
61	0.9854146008
62	0.9770184373
63	0.9622148357
64	0.9467057784
65	0.938815527
66	0.9325510352
67	0.9241203785
68	0.908738298
69	0.8983035363
70	0.8867307486
71	0.881163058
72	0.8769088607
73	0.8647279558
74	0.8509481633
75	0.8421550014
76	0.8342917442
77	0.8221644385
78	0.8060824012
79	0.7950192754
80	0.7885040454
81	0.7793799001
82	0.7742094853
83	0.7634375659
84	0.7564932503
85	0.7485964953
86	0.7457356989
87	0.7382318951
88	0.7296523198
89	0.7268615011
90	0.7216943369
91	0.7123984048
92	0.7072266985
93	0.7048585409
94	0.6975815598
95	0.6877383861
96	0.6780099966
97	0.6707674663
98	0.6642901654
99	0.6579241456
