iter	Passed	Remaining
0	59	5908
1	62	3057
2	64	2088
3	67	1609
4	69	1316
5	71	1118
6	73	974
7	75	865
8	77	781
9	79	711
10	81	656
11	83	609
12	85	568
13	86	534
14	88	503
15	90	476
16	92	452
17	94	431
18	96	411
19	98	394
20	100	378
21	102	363
22	104	349
23	106	337
24	108	325
25	110	314
26	112	304
27	114	295
28	116	285
29	118	276
30	120	268
31	122	260
32	124	253
33	127	246
34	129	239
35	131	233
36	133	226
37	135	220
38	137	215
39	139	209
40	142	204
41	144	199
42	145	193
43	148	188
44	150	183
45	152	179
46	154	174
47	156	169
48	158	165
49	160	160
50	162	156
51	164	151
52	166	147
53	168	143
54	170	139
55	172	135
56	174	131
57	175	127
58	177	123
59	179	119
60	181	116
61	183	112
62	185	108
63	187	105
64	188	101
65	190	98
66	192	94
67	194	91
68	196	88
69	198	84
70	200	81
71	201	78
72	203	75
73	205	72
74	207	69
75	209	66
76	210	63
77	212	60
78	214	57
79	216	54
80	218	51
81	220	48
82	221	45
83	223	42
84	225	39
85	227	37
86	229	34
87	230	31
88	232	28
89	234	26
90	236	23
91	238	20
92	240	18
93	241	15
94	243	12
95	245	10
96	247	7
97	249	5
98	251	2
99	252	0
